,Date,Close_CL=F,High_CL=F,Low_CL=F,Open_CL=F,Volume_CL=F
0,2020-01-02,61.18000030517578,61.599998474121094,60.63999938964844,61.599998474121094,486873
1,2020-01-03,63.04999923706055,64.08999633789062,61.130001068115234,61.18000030517578,885861
2,2020-01-06,63.27000045776367,64.72000122070312,62.63999938964844,63.709999084472656,724236
3,2020-01-07,62.70000076293945,63.150001525878906,62.11000061035156,62.90999984741211,582649
4,2020-01-08,59.61000061035156,65.6500015258789,59.150001525878906,62.84000015258789,1205710
5,2020-01-09,59.560001373291016,60.310001373291016,58.65999984741211,59.9900016784668,750933
6,2020-01-10,59.040000915527344,59.779998779296875,58.849998474121094,59.61000061035156,596186
7,2020-01-13,58.08000183105469,59.27000045776367,57.90999984741211,59.040000915527344,584002
8,2020-01-14,58.22999954223633,58.720001220703125,57.720001220703125,58.029998779296875,507714
9,2020-01-15,57.810001373291016,58.36000061035156,57.36000061035156,58.20000076293945,433169
10,2020-01-16,58.52000045776367,58.869998931884766,57.560001373291016,58.099998474121094,182871
11,2020-01-17,58.540000915527344,58.97999954223633,58.27000045776367,58.59000015258789,122561
12,2020-01-21,58.34000015258789,59.72999954223633,57.68000030517578,59.16999816894531,648335
13,2020-01-22,56.7400016784668,58.380001068115234,56.029998779296875,58.2599983215332,620119
14,2020-01-23,55.59000015258789,56.27000045776367,54.77000045776367,56.11000061035156,703995
15,2020-01-24,54.189998626708984,55.95000076293945,53.849998474121094,55.689998626708984,586195
16,2020-01-27,53.13999938964844,53.709999084472656,52.130001068115234,53.70000076293945,712880
17,2020-01-28,53.47999954223633,54.060001373291016,52.68000030517578,52.77000045776367,633963
18,2020-01-29,53.33000183105469,54.369998931884766,52.810001373291016,53.970001220703125,624979
19,2020-01-30,52.13999938964844,53.20000076293945,51.65999984741211,53.09000015258789,720123
20,2020-01-31,51.560001373291016,53.36000061035156,50.970001220703125,52.91999816894531,827907
21,2020-02-03,50.11000061035156,51.970001220703125,49.79999923706055,51.0099983215332,876044
22,2020-02-04,49.61000061035156,51.54999923706055,49.310001373291016,49.939998626708984,859357
23,2020-02-05,50.75,51.880001068115234,49.470001220703125,49.5099983215332,887946
24,2020-02-06,50.95000076293945,52.20000076293945,50.2400016784668,51.16999816894531,750659
25,2020-02-07,50.31999969482422,51.47999954223633,50.09000015258789,51.11000061035156,768345
26,2020-02-10,49.56999969482422,50.4900016784668,49.41999816894531,50.119998931884766,715894
27,2020-02-11,49.939998626708984,50.689998626708984,49.58000183105469,49.61000061035156,725733
28,2020-02-12,51.16999816894531,51.72999954223633,49.95000076293945,49.959999084472656,795256
29,2020-02-13,51.41999816894531,51.959999084472656,50.599998474121094,51.720001220703125,745400
30,2020-02-14,52.04999923706055,52.34000015258789,51.31999969482422,51.5099983215332,607343
31,2020-02-18,52.04999923706055,52.40999984741211,50.880001068115234,52.22999954223633,221774
32,2020-02-19,53.290000915527344,53.65999984741211,51.93000030517578,52.119998931884766,113683
33,2020-02-20,53.779998779296875,54.5,53.220001220703125,53.5,676179
34,2020-02-21,53.380001068115234,53.86000061035156,52.54999923706055,53.7400016784668,707555
35,2020-02-24,51.43000030517578,52.63999938964844,50.45000076293945,52.599998474121094,765515
36,2020-02-25,49.900001525878906,52.02000045776367,49.689998626708984,51.369998931884766,764989
37,2020-02-26,48.72999954223633,50.439998626708984,48.29999923706055,50.08000183105469,884482
38,2020-02-27,47.09000015258789,48.779998779296875,45.880001068115234,48.630001068115234,1011915
39,2020-02-28,44.7599983215332,47.029998779296875,43.849998474121094,46.4900016784668,1101659
40,2020-03-02,46.75,47.560001373291016,43.31999969482422,43.70000076293945,949471
41,2020-03-03,47.18000030517578,48.65999984741211,46.470001220703125,47.720001220703125,1011933
42,2020-03-04,46.779998779296875,48.40999984741211,46.650001525878906,46.939998626708984,745856
43,2020-03-05,45.900001525878906,47.56999969482422,45.650001525878906,47.130001068115234,704591
44,2020-03-06,41.279998779296875,46.380001068115234,41.04999923706055,46.09000015258789,1276180
45,2020-03-09,31.1299991607666,34.880001068115234,27.34000015258789,32.869998931884766,1774383
46,2020-03-10,34.36000061035156,35.02000045776367,30.200000762939453,30.3700008392334,1064632
47,2020-03-11,32.97999954223633,36.349998474121094,32.560001373291016,34.619998931884766,874646
48,2020-03-12,31.5,33.630001068115234,30.020000457763672,33.06999969482422,1025036
49,2020-03-13,31.729999542236328,33.869998931884766,30.329999923706055,30.770000457763672,743129
50,2020-03-16,28.700000762939453,33.75,28.100000381469727,33.75,698829
51,2020-03-17,26.950000762939453,30.299999237060547,26.6299991607666,28.690000534057617,545820
52,2020-03-18,20.3700008392334,27.219999313354492,20.059999465942383,26.940000534057617,309481
53,2020-03-19,25.219999313354492,27.709999084472656,21.360000610351562,22.299999237060547,136722
54,2020-03-20,22.43000030517578,27.889999389648438,19.459999084472656,24.729999542236328,1133808
55,2020-03-23,23.360000610351562,24.06999969482422,20.799999237060547,22.520000457763672,852951
56,2020-03-24,24.010000228881836,25.15999984741211,23.09000015258789,23.8700008392334,659697
57,2020-03-25,24.489999771118164,25.239999771118164,22.90999984741211,24.3700008392334,618725
58,2020-03-26,22.600000381469727,24.649999618530273,22.3799991607666,24.25,633877
59,2020-03-27,21.510000228881836,23.440000534057617,20.8799991607666,23.290000915527344,603124
60,2020-03-30,20.09000015258789,20.93000030517578,19.270000457763672,20.93000030517578,758711
61,2020-03-31,20.479999542236328,21.889999389648438,20.010000228881836,20.229999542236328,660082
62,2020-04-01,20.309999465942383,21.549999237060547,19.899999618530273,20.100000381469727,703286
63,2020-04-02,25.31999969482422,27.389999389648438,20.760000228881836,21.219999313354492,1095972
64,2020-04-03,28.34000015258789,29.1299991607666,23.520000457763672,24.809999465942383,1007577
65,2020-04-06,26.079999923706055,28.239999771118164,25.280000686645508,26.09000015258789,752710
66,2020-04-07,23.6299991607666,27.239999771118164,23.540000915527344,26.34000015258789,797707
67,2020-04-08,25.09000015258789,26.450000762939453,23.739999771118164,24.299999237060547,823554
68,2020-04-09,22.760000228881836,28.360000610351562,22.56999969482422,26.280000686645508,1122149
